object,label,edge_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
Part__Feature,全倾转无人机总体装配模型,1,10.199999999999987,-430.78776934602456,217.59455724878262,430.09671147985284,0.0,0.0,-1.0,-440.98776934602455,217.59455724878262,430.09671147985284,-420.5877693460246,227.7945572487826,430.09671147985284,20.399999999999977,10.199999999999989,0.0
Part__Feature,全倾转无人机总体装配模型,2,10.199999999999987,-430.78776934602456,217.59455724878262,430.09671147985284,0.0,0.0,-1.0,-440.98776934602455,207.39455724878263,430.09671147985284,-420.5877693460246,217.59455724878262,430.09671147985284,20.399999999999977,10.199999999999989,0.0
Part__Feature,全倾转无人机总体装配模型,7,3.0999999999999917,-344.2422677457522,184.467023932679,430.09671147985284,0.0,0.0,-1.0,-347.34226774575217,184.467023932679,430.09671147985284,-341.14226774575224,187.567023932679,430.09671147985284,6.199999999999932,3.0999999999999943,0.0
Part__Feature,全倾转无人机总体装配模型,8,3.0999999999999917,-344.2422677457522,184.467023932679,430.09671147985284,0.0,0.0,-1.0,-347.34226774575217,181.36702393267902,430.09671147985284,-341.14226774575224,184.467023932679,430.09671147985284,6.199999999999932,3.0999999999999943,0.0
Part__Feature,全倾转无人机总体装配模型,9,3.099999999999964,-247.21823805792334,170.6707322883526,430.09671147985284,0.0,0.0,-1.0,-250.3182380579233,170.6707322883526,430.09671147985284,-244.11823805792338,173.77073228835258,430.09671147985284,6.199999999999932,3.099999999999966,0.0
Part__Feature,全倾转无人机总体装配模型,10,3.099999999999964,-247.21823805792334,170.6707322883526,430.09671147985284,0.0,0.0,-1.0,-250.3182380579233,167.57073228835264,430.09671147985284,-244.11823805792338,170.6707322883526,430.09671147985284,6.199999999999932,3.099999999999966,0.0
Part__Feature,全倾转无人机总体装配模型,12,3.0000000000001137,553.6290427064782,103.91601836800211,430.09671147985284,0.0,0.0,-1.0,553.3984502671043,100.916018368002,430.09671147985284,556.5998469127034,103.49849906512387,430.09671147985284,3.2013966455990612,2.5824806971218663,0.0
Part__Feature,全倾转无人机总体装配模型,43,3.0000000000000027,326.3325735627329,129.91901273943208,430.09671147985284,0.0,0.0,-1.0,326.0376080549878,126.91901273943208,430.09671147985284,329.3325735627329,130.19627240801609,430.09671147985284,3.2949655077450757,3.2772596685840085,0.0
Part__Feature,全倾转无人机总体装配模型,45,3.0000000000000027,326.04646093803814,133.00155373146748,430.09671147985284,0.0,0.0,-1.0,326.46398024091616,133.27881340005155,430.09671147985284,329.03362130805124,135.9723579376925,430.09671147985284,2.5696410671350804,2.693544537640946,0.0
Part__Feature,全倾转无人机总体装配模型,47,3.0000000000000027,287.37464321523265,138.43652327366067,430.09671147985284,0.0,0.0,-1.0,284.4015913646694,138.83772483629772,430.09671147985284,287.79216251811073,141.43652327366067,430.09671147985284,3.3905711534413285,2.5987984373629445,0.0
Part__Feature,全倾转无人机总体装配模型,49,3.0000000000000027,286.7529439823702,133.8295021977548,430.09671147985284,0.0,0.0,-1.0,283.7529439823702,130.84403818872025,430.09671147985284,286.4579784746252,134.23070376039186,430.09671147985284,2.705034492254981,3.386665571671614,0.0
Part__Feature,全倾转无人机总体装配模型,51,3.0000000000000027,255.72038280396748,142.88523945372324,430.09671147985284,0.0,0.0,-1.0,256.1379021068455,142.46772015084522,430.09671147985284,258.7203828039675,145.85604365994826,430.09671147985284,2.58248069712198,3.3883235091030315,0.0
Part__Feature,全倾转无人机总体装配模型,53,3.0000000000000027,219.0308646863254,148.041614954778,430.09671147985284,0.0,0.0,-1.0,216.07122286289516,148.53204362135705,430.09671147985284,219.44838398920345,151.041614954778,430.09671147985284,3.3771611263082946,2.5095713334209506,0.0
