object,label,face_index,radius_mm,center_x_mm,center_y_mm,center_z_mm,axis_x,axis_y,axis_z,bbox_xmin_mm,bbox_ymin_mm,bbox_zmin_mm,bbox_xmax_mm,bbox_ymax_mm,bbox_zmax_mm,bbox_xlen_mm,bbox_ylen_mm,bbox_zlen_mm
Part__Feature004,全倾转无人机总体装配模型004,1,7.9999999999999885,-280.8824563610076,172.43803743432272,286.1193194510611,-0.3967237909231765,0.7698118170795708,0.5000000000001934,-295.88905242292924,162.81492234473055,275.83978264488076,-270.76188555493434,206.0272420197931,311.54752268134285,25.1271668679949,43.21231967506256,35.7077400364621
Part__Feature005,全倾转无人机总体装配模型005,4,27.499999999999993,-346.94901916206726,302.42052645610113,369.5748528201016,0.39672379092317483,-0.7698118170795715,-0.5000000000001936,-325.3604508651963,200.80220912402692,279.2591542160068,-298.49418411433527,233.08037472726957,298.165010123926,26.86626675086103,32.278165603242655,18.905855907919204
Part__Feature006,全倾转无人机总体装配模型006,1,8.00000000000003,-280.88245636951694,172.43803743462487,838.0741035065902,-0.39672379092318344,0.7698118170798275,-0.4999999999997927,-303.6981884851321,161.94318736154221,811.7945667004171,-277.77757403529057,206.69513067076983,848.5023067368652,25.920614449841537,44.75194330922761,36.70774003644806
Part__Feature006,全倾转无人机总体装配模型006,2,8.00000000000003,-280.88245636951694,172.43803743462487,838.0741035065902,-0.39672379092318344,0.7698118170798275,-0.4999999999997927,-296.68250001328516,162.81492234503438,811.6459002763218,-270.7618855634436,207.566865654262,848.3536403127698,25.920614449841537,44.75194330922761,36.70774003644806
Part__Feature008,全倾转无人机总体装配模型008,5,27.500000000000018,-346.9490191705778,302.420526456446,754.6185701376188,0.39672379092318055,-0.7698118170798278,0.4999999999997945,-325.360450873706,200.80220912432856,826.0284128337522,-298.49418412284496,233.0803747275747,844.9342687416669,26.86626675086103,32.27816560324615,18.905855907914656
Part__Feature010,全倾转无人机总体装配模型010,1,3.999999999999944,552.0306966689279,95.11410399838266,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,548.0306966689279,91.11410399838272,700.0967114777096,556.0306914113925,95.12058938626826,720.0967114777096,7.999994742464537,4.006485387885547,20.0
Part__Feature010,全倾转无人机总体装配模型010,2,3.9999999999999996,466.07720120336205,58.78420216552245,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,462.07720120336205,54.78420216552245,700.0967114777096,470.0771959458266,58.79068755340805,720.0967114777096,7.999994742464537,4.006485387885597,20.0
Part__Feature010,全倾转无人机总体装配模型010,3,3.9999999999999996,380.12370573779606,22.454300332662214,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,376.12370573779606,18.454300332662214,700.0967114777096,384.1237004802606,22.46078572054782,720.0967114777096,7.999994742464537,4.006485387885604,20.0
Part__Feature010,全倾转无人机总体装配模型010,4,3.9999999999999996,324.7034963808649,3.772884745359778,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,320.7034963808649,-0.22711525464022175,700.0967114777096,328.70349112332946,3.7793701332453797,720.0967114777096,7.999994742464537,4.0064853878856015,20.0
Part__Feature010,全倾转无人机总体装配模型010,5,3.9999999999999996,140.01667184961065,4.399177535365978,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,136.01667184961065,0.39917753536597855,700.0967114777097,144.01666659207518,4.40566292325158,720.0967114777096,7.999994742464537,4.006485387885601,19.999999999999886
Part__Feature010,全倾转无人机总体装配模型010,6,3.999999999999996,6.849827771273787,4.615087478500563,678.7830029787248,2.7610131682735413e-28,8.50589271054556e-28,1.0,2.8498277712737914,0.6150874785005667,700.0967114777097,10.849822513738324,4.621572866386164,720.0967114777096,7.9999947424645335,4.006485387885597,19.999999999999886
