object,label,type,solids,faces,edges,xmin_mm,ymin_mm,zmin_mm,xmax_mm,ymax_mm,zmax_mm,xlen_mm,ylen_mm,zlen_mm
Part__Feature,全倾转无人机总体装配模型,Part::Feature,0,2,153,-510.9831904327235,100.916018368002,430.0967114798527,558.549090393793,257.65457287911175,443.09671147985284,1069.5322808265164,156.73855451110975,13.00000000000017
Part__Feature001,全倾转无人机总体装配模型001,Part::Feature,0,2,153,-510.98319043272346,100.91601836800211,681.0967114798528,558.549090393793,257.6545728791118,694.0967114798528,1069.5322808265164,156.7385545111097,13.0
Part__Feature002,全倾转无人机总体装配模型002,Part::Feature,0,1,5,-264.613445453073,193.5783543114947,323.37332574136286,-242.2232865266961,203.06376039352128,330.12875282723854,22.39015892637687,9.485406082026572,6.755427085875681
Part__Feature003,全倾转无人机总体装配模型003,Part::Feature,0,2,18,-328.79482367243065,183.8052751914589,281.3275033504111,-264.613445453073,213.23433075142145,342.98028326761477,64.18137821935767,29.429055559962563,61.652779917203645
Part__Feature004,全倾转无人机总体装配模型004,Part::Feature,0,2,7,-295.88905242292924,160.98578098245326,274.3920781151086,-269.3849785043823,206.0272420197931,311.54752268134285,26.504073918546965,45.04146103733984,37.15544456623428
Part__Feature005,全倾转无人机总体装配模型005,Part::Feature,0,7,40,-485.6222040046543,173.04028163050975,-627.9032885200983,-186.3457447991232,234.89709643864856,404.09671147991503,299.27645920553107,61.85681480813881,1032.0000000000132
Part__Feature006,全倾转无人机总体装配模型006,Part::Feature,0,3,8,-303.6981884851321,160.98578098275652,811.6459002763218,-269.3849785128916,207.566865654262,849.801344842542,34.313209972240486,46.581084671505465,38.15544456622024
Part__Feature007,全倾转无人机总体装配模型007,Part::Feature,0,2,18,-328.79482368094006,183.8052751917903,781.2131396900422,-264.49448443182155,213.44546271326743,842.9598952702272,64.30033924911851,29.640187521477145,61.74675558018498
Part__Feature008,全倾转无人机总体装配模型008,Part::Feature,0,7,41,-485.62220401316483,173.04028163086653,720.0967114777544,-186.34574480763362,234.89709643900488,1752.0967114777704,299.2764592055312,61.85681480813835,1032.000000000016
Part__Feature009,全倾转无人机总体装配模型009,Part::Feature,0,2,7,563.2631302247962,95.40996489338521,690.0967114777096,619.1373254243648,120.54889561761246,718.277069307508,55.87419519956859,25.13893072422725,28.180357829798368
Part__Feature010,全倾转无人机总体装配模型010,Part::Feature,0,117,516,-650.7214541289185,-3.8402988940374527,404.067852367364,626.5575743231276,281.3386737424246,720.1255705888052,1277.279028452046,285.17897263646205,316.0577182214412
Part__Feature011,全倾转无人机总体装配模型011,Part::Feature,0,1,4,563.2631302247962,95.40996489338521,409.0967114777097,609.1749165478369,114.81546645039326,434.0967114777098,45.9117863230407,19.40550155700805,25.000000000000114
Part__Feature012,全倾转无人机总体装配模型012,Part::Feature,0,4,17,-290.69062006779643,158.67187379075745,271.6820502950604,-266.8838104881667,178.07289471117656,293.8852611327099,23.806809579629714,19.401020920419114,22.20321083764952
Part__Feature013,全倾转无人机总体装配模型013,Part::Feature,0,1,22,-467.71521188411685,7.738196962579434,620.5967114777097,-302.937343913002,78.64635855100211,620.5967114777097,164.77786797111486,70.90816158842267,0.0
Part__Feature014,全倾转无人机总体装配模型014,Part::Feature,0,2,13,-291.51605839584835,159.09854744922157,831.3460371121437,-266.17937934369763,174.8017788701435,852.5410539387808,25.336679052150714,15.703231420921924,21.19501682663713
Part__Feature015,全倾转无人机总体装配模型015,Part::Feature,0,38,188,73.8062665252501,-76.59318515026007,399.09671147772264,620.575165346541,117.49172949207114,725.0967114777518,546.7688988212909,194.08491464233123,326.00000000002916
Part__Feature016,全倾转无人机总体装配模型016,Part::Feature,0,78,354,-582.3059701222631,-75.43119466011127,399.0967114777358,73.41761647981048,97.29913300497074,725.096711477765,655.7235866020736,172.73032766508203,326.00000000002916
Part__Feature017,全倾转无人机总体装配模型017,Part::Feature,0,18,78,435.8068580817219,335.2727490256597,438.8892800096522,615.0552569681646,365.7696675380289,683.278926829372,179.24839888644271,30.496918512369177,244.38964681971981
Part__Feature018,全倾转无人机总体装配模型018,Part::Feature,0,16,66,435.8068580817233,331.5719481384341,683.2989268293662,658.5991640692702,365.76966753802793,907.3467114671079,222.79230598754685,34.197719399593836,224.04778463774164
Part__Feature019,全倾转无人机总体装配模型019,Part::Feature,0,17,67,435.8068580817206,331.5719481384348,217.34671146710323,658.5991640692671,365.7696675380299,443.23800131293115,222.7923059875465,34.197719399595144,225.8912898458279
Part__Feature020,全倾转无人机总体装配模型020,Part::Feature,0,1,16,482.0477713226539,332.25278621502775,676.0984561688181,605.3250621050706,357.5423348743951,690.094966760673,123.27729078241674,25.28954865936737,13.996510591854872
