theta_deg,motor,test_letter,physical_position,spin,x_m,y_m,z_m,dx,dy,dz,vertical_factor_dz,roll_moment_x,pitch_moment_y,yaw_moment_z_from_force,yaw_drag_sign
0,M1,A,right_front,CCW,0.525000000,0.320000000,-0.045000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.045000000,-0.320000000,1
0,M2,C,left_rear,CCW,0.520000000,-0.980000000,-0.060000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.060000000,0.980000000,1
0,M3,D,left_front,CW,0.525000000,-0.320000000,-0.045000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.045000000,0.320000000,-1
0,M4,B,right_rear,CW,0.520000000,0.980000000,-0.060000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.060000000,-0.980000000,-1
15,M1,A,right_front,CCW,0.497592593,0.332592593,-0.075740741,0.996815279,0.000000000,-0.079745222,-0.079745222,-0.026522670,-0.035818896,-0.331533378,1
15,M2,C,left_rear,CCW,0.445925926,-0.941481481,-0.081851852,0.996815279,0.000000000,-0.079745222,-0.079745222,0.075078650,-0.046030714,0.938483125,1
15,M3,D,left_front,CW,0.497592593,-0.332592593,-0.075740741,0.996815279,0.000000000,-0.079745222,-0.079745222,0.026522670,-0.035818896,0.331533378,-1
15,M4,B,right_rear,CW,0.445925926,0.941481481,-0.081851852,0.996815279,0.000000000,-0.079745222,-0.079745222,-0.075078650,-0.046030714,-0.938483125,-1
30,M1,A,right_front,CCW,0.429074074,0.364074074,-0.152592593,0.943858356,0.000000000,-0.330350425,-0.330350425,-0.120272025,-0.002280991,-0.343634357,1
30,M2,C,left_rear,CCW,0.260740741,-0.845185185,-0.136481481,0.943858356,0.000000000,-0.330350425,-0.330350425,0.279207285,-0.042683372,0.797735100,1
30,M3,D,left_front,CW,0.429074074,-0.364074074,-0.152592593,0.943858356,0.000000000,-0.330350425,-0.330350425,0.120272025,-0.002280991,0.343634357,-1
30,M4,B,right_rear,CW,0.260740741,0.845185185,-0.136481481,0.943858356,0.000000000,-0.330350425,-0.330350425,-0.279207285,-0.042683372,-0.797735100,-1
45,M1,A,right_front,CCW,0.340000000,0.405000000,-0.252500000,0.707106781,0.000000000,-0.707106781,-0.707106781,-0.286378246,0.061871843,-0.286378246,1
45,M2,C,left_rear,CCW,0.020000000,-0.720000000,-0.207500000,0.707106781,0.000000000,-0.707106781,-0.707106781,0.509116882,-0.132582521,0.509116882,1
45,M3,D,left_front,CW,0.340000000,-0.405000000,-0.252500000,0.707106781,0.000000000,-0.707106781,-0.707106781,0.286378246,0.061871843,0.286378246,-1
45,M4,B,right_rear,CW,0.020000000,0.720000000,-0.207500000,0.707106781,0.000000000,-0.707106781,-0.707106781,-0.509116882,-0.132582521,-0.509116882,-1
60,M1,A,right_front,CCW,0.250925926,0.445925926,-0.352407407,0.330350425,0.000000000,-0.943858356,-0.943858356,-0.420890912,0.120420595,-0.147311819,1
60,M2,C,left_rear,CCW,-0.220740741,-0.594814815,-0.278518519,0.330350425,0.000000000,-0.943858356,-0.943858356,0.561420933,-0.300356704,0.196497327,1
60,M3,D,left_front,CW,0.250925926,-0.445925926,-0.352407407,0.330350425,0.000000000,-0.943858356,-0.943858356,0.420890912,0.120420595,0.147311819,-1
60,M4,B,right_rear,CW,-0.220740741,0.594814815,-0.278518519,0.330350425,0.000000000,-0.943858356,-0.943858356,-0.561420933,-0.300356704,-0.196497327,-1
75,M1,A,right_front,CCW,0.182407407,0.477407407,-0.429259259,0.079745222,0.000000000,-0.996815279,-0.996815279,-0.475886998,0.147595116,-0.038070960,1
75,M2,C,left_rear,CCW,-0.405925926,-0.498518519,-0.333148148,0.079745222,0.000000000,-0.996815279,-0.996815279,0.496930876,-0.431200138,0.039754470,1
75,M3,D,left_front,CW,0.182407407,-0.477407407,-0.429259259,0.079745222,0.000000000,-0.996815279,-0.996815279,0.475886998,0.147595116,0.038070960,-1
75,M4,B,right_rear,CW,-0.405925926,0.498518519,-0.333148148,0.079745222,0.000000000,-0.996815279,-0.996815279,-0.496930876,-0.431200138,-0.039754470,-1
90,M1,A,right_front,CCW,0.155000000,0.490000000,-0.460000000,0.000000000,0.000000000,-1.000000000,-1.000000000,-0.490000000,0.155000000,0.000000000,1
90,M2,C,left_rear,CCW,-0.480000000,-0.460000000,-0.355000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0.460000000,-0.480000000,0.000000000,1
90,M3,D,left_front,CW,0.155000000,-0.490000000,-0.460000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0.490000000,0.155000000,0.000000000,-1
90,M4,B,right_rear,CW,-0.480000000,0.460000000,-0.355000000,0.000000000,0.000000000,-1.000000000,-1.000000000,-0.460000000,-0.480000000,-0.000000000,-1
