theta_deg,motor,test_letter,physical_position,spin,x_m,y_m,z_m,dx,dy,dz,vertical_factor_dz,roll_moment_x,pitch_moment_y,yaw_moment_z_from_force,yaw_drag_sign
0,M1,A,right_front,CCW,0.687500000,0.320000000,-0.045000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.045000000,-0.320000000,1
0,M2,C,left_rear,CCW,0.682500000,-0.980000000,-0.060000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.060000000,0.980000000,1
0,M3,D,left_front,CW,0.687500000,-0.320000000,-0.045000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.045000000,0.320000000,-1
0,M4,B,right_rear,CW,0.682500000,0.980000000,-0.060000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.060000000,-0.980000000,-1
15,M1,A,right_front,CCW,0.660093000,0.332593000,-0.075741000,0.996815000,0.000000000,-0.079745000,-0.079745000,-0.026522629,-0.022860649,-0.331533691,1
15,M2,C,left_rear,CCW,0.608426000,-0.941481000,-0.081852000,0.996815000,0.000000000,-0.079745000,-0.079745000,0.075078402,-0.033072370,0.938482383,1
15,M3,D,left_front,CW,0.660093000,-0.332593000,-0.075741000,0.996815000,0.000000000,-0.079745000,-0.079745000,0.026522629,-0.022860649,0.331533691,-1
15,M4,B,right_rear,CW,0.608426000,0.941481000,-0.081852000,0.996815000,0.000000000,-0.079745000,-0.079745000,-0.075078402,-0.033072370,-0.938482383,-1
30,M1,A,right_front,CCW,0.591574000,0.364074000,-0.152593000,0.943858000,0.000000000,-0.330350000,-0.330350000,-0.120271846,0.051400347,-0.343634157,1
30,M2,C,left_rear,CCW,0.423241000,-0.845185000,-0.136481000,0.943858000,0.000000000,-0.330350000,-0.330350000,0.279206865,0.010998981,0.797734624,1
30,M3,D,left_front,CW,0.591574000,-0.364074000,-0.152593000,0.943858000,0.000000000,-0.330350000,-0.330350000,0.120271846,0.051400347,0.343634157,-1
30,M4,B,right_rear,CW,0.423241000,0.845185000,-0.136481000,0.943858000,0.000000000,-0.330350000,-0.330350000,-0.279206865,0.010998981,-0.797734624,-1
45,M1,A,right_front,CCW,0.502500000,0.405000000,-0.252500000,0.707107000,0.000000000,-0.707107000,-0.707107000,-0.286378335,0.176776750,-0.286378335,1
45,M2,C,left_rear,CCW,0.182500000,-0.720000000,-0.207500000,0.707107000,0.000000000,-0.707107000,-0.707107000,0.509117040,-0.017677675,0.509117040,1
45,M3,D,left_front,CW,0.502500000,-0.405000000,-0.252500000,0.707107000,0.000000000,-0.707107000,-0.707107000,0.286378335,0.176776750,0.286378335,-1
45,M4,B,right_rear,CW,0.182500000,0.720000000,-0.207500000,0.707107000,0.000000000,-0.707107000,-0.707107000,-0.509117040,-0.017677675,-0.509117040,-1
60,M1,A,right_front,CCW,0.413426000,0.445926000,-0.352407000,0.330350000,0.000000000,-0.943858000,-0.943858000,-0.420890823,0.273797785,-0.147311654,1
60,M2,C,left_rear,CCW,-0.058241000,-0.594815000,-0.278519000,0.330350000,0.000000000,-0.943858000,-0.943858000,0.561420896,-0.146979985,0.196497135,1
60,M3,D,left_front,CW,0.413426000,-0.445926000,-0.352407000,0.330350000,0.000000000,-0.943858000,-0.943858000,0.420890823,0.273797785,0.147311654,-1
60,M4,B,right_rear,CW,-0.058241000,0.594815000,-0.278519000,0.330350000,0.000000000,-0.943858000,-0.943858000,-0.561420896,-0.146979985,-0.196497135,-1
75,M1,A,right_front,CCW,0.344907000,0.477407000,-0.429259000,0.079745000,0.000000000,-0.996815000,-0.996815000,-0.475886459,0.309577212,-0.038070821,1
75,M2,C,left_rear,CCW,-0.243426000,-0.498519000,-0.333148000,0.079745000,0.000000000,-0.996815000,-0.996815000,0.496931217,-0.269217575,0.039754398,1
75,M3,D,left_front,CW,0.344907000,-0.477407000,-0.429259000,0.079745000,0.000000000,-0.996815000,-0.996815000,0.475886459,0.309577212,0.038070821,-1
75,M4,B,right_rear,CW,-0.243426000,0.498519000,-0.333148000,0.079745000,0.000000000,-0.996815000,-0.996815000,-0.496931217,-0.269217575,-0.039754398,-1
90,M1,A,right_front,CCW,0.317500000,0.490000000,-0.460000000,0.000000000,0.000000000,-1.000000000,-1.000000000,-0.490000000,0.317500000,0.000000000,1
90,M2,C,left_rear,CCW,-0.317500000,-0.460000000,-0.355000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0.460000000,-0.317500000,0.000000000,1
90,M3,D,left_front,CW,0.317500000,-0.490000000,-0.460000000,0.000000000,0.000000000,-1.000000000,-1.000000000,0.490000000,0.317500000,0.000000000,-1
90,M4,B,right_rear,CW,-0.317500000,0.460000000,-0.355000000,0.000000000,0.000000000,-1.000000000,-1.000000000,-0.460000000,-0.317500000,0.000000000,-1
