theta_deg,motor,test_letter,physical_position,spin,throttle_factor,roll_factor,pitch_factor,yaw_force_factor,yaw_drag_factor
0,M1,A,right_front,CCW,0.000000,0.000000,-0.750000,-0.326531,1.000000
0,M2,C,left_rear,CCW,0.000000,0.000000,-1.000000,1.000000,1.000000
0,M3,D,left_front,CW,0.000000,0.000000,-0.750000,0.326531,-1.000000
0,M4,B,right_rear,CW,0.000000,0.000000,-1.000000,-1.000000,-1.000000
15,M1,A,right_front,CCW,1.000000,-0.353266,-0.691231,-0.353266,1.000000
15,M2,C,left_rear,CCW,1.000000,1.000000,-1.000000,1.000000,1.000000
15,M3,D,left_front,CW,1.000000,0.353266,-0.691231,0.353266,-1.000000
15,M4,B,right_rear,CW,1.000000,-1.000000,-1.000000,-1.000000,-1.000000
30,M1,A,right_front,CCW,1.000000,-0.430762,1.000000,-0.430762,1.000000
30,M2,C,left_rear,CCW,1.000000,1.000000,0.213987,1.000000,1.000000
30,M3,D,left_front,CW,1.000000,0.430762,1.000000,0.430762,-1.000000
30,M4,B,right_rear,CW,1.000000,-1.000000,0.213987,-1.000000,-1.000000
45,M1,A,right_front,CCW,1.000000,-0.562500,1.000000,-0.562500,1.000000
45,M2,C,left_rear,CCW,1.000000,1.000000,-0.100000,1.000000,1.000000
45,M3,D,left_front,CW,1.000000,0.562500,1.000000,0.562500,-1.000000
45,M4,B,right_rear,CW,1.000000,-1.000000,-0.100000,-1.000000,-1.000000
60,M1,A,right_front,CCW,1.000000,-0.749689,1.000000,-0.749689,1.000000
60,M2,C,left_rear,CCW,1.000000,1.000000,-0.536819,1.000000,1.000000
60,M3,D,left_front,CW,1.000000,0.749689,1.000000,0.749689,-1.000000
60,M4,B,right_rear,CW,1.000000,-1.000000,-0.536819,-1.000000,-1.000000
75,M1,A,right_front,CCW,1.000000,-0.957651,1.000000,-0.957651,1.000000
75,M2,C,left_rear,CCW,1.000000,1.000000,-0.869630,1.000000,1.000000
75,M3,D,left_front,CW,1.000000,0.957651,1.000000,0.957651,-1.000000
75,M4,B,right_rear,CW,1.000000,-1.000000,-0.869630,-1.000000,-1.000000
90,M1,A,right_front,CCW,1.000000,-1.000000,1.000000,0.000000,1.000000
90,M2,C,left_rear,CCW,1.000000,0.938776,-1.000000,0.000000,1.000000
90,M3,D,left_front,CW,1.000000,1.000000,1.000000,0.000000,-1.000000
90,M4,B,right_rear,CW,1.000000,-0.938776,-1.000000,0.000000,-1.000000
